"No","std","na",33,"na33","bip","bip_npn","dio","dio_na","dio_dnw","dio_33","dio_na33","mos_cap","mos_cap_33","res","dio_lvt","dio_hvt","lvt","hvt","vpwr33","vpwr10","temp","op src N","sat src N [mV]","op csc N","sat csc N [mV]","op src P","sat src P [mV]","op csc P","sat csc P [mV]","N error [uA]","N error [per]","P error [uA]","P error [per]"
0,"tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt","tt",3.3,1,70,"sat",230.84,"sat",127.94,"sat",385.86,"sat",217.08,-0.04,-0.31,-0.01,-0.06
1,"ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,-10,"sat",177.96,"sat",99.2,"sat",303.22,"sat",169.61,-0.03,-0.33,-0.01,-0.05
2,"ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,-10,"sat",178,"sat",99.23,"sat",303.31,"sat",169.66,-0.06,-0.56,-0.01,-0.07
3,"ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,115,"sat",245.45,"sat",143.35,"sat",398.53,"sat",228.11,-0.03,-0.25,-0.01,-0.06
4,"ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,115,"sat",245.51,"sat",143.38,"sat",398.64,"sat",228.17,-0.04,-0.39,-0.01,-0.07
5,"ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,-10,"sat",197.11,"sat",103.37,"sat",343.36,"sat",188.38,-0.04,-0.28,-0.01,-0.05
6,"ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,-10,"sat",197.15,"sat",103.39,"sat",343.43,"sat",188.42,-0.07,-0.46,-0.01,-0.06
7,"ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,115,"sat",270.88,"sat",149.36,"sat",449.82,"sat",252.49,-0.04,-0.24,-0.01,-0.05
8,"ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,115,"sat",270.93,"sat",149.38,"sat",449.92,"sat",252.53,-0.05,-0.35,-0.01,-0.07
9,"fs","fs","fs","fs","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,-10,"sat",169.33,"sat",90.78,"sat",296.81,"sat",165.19,-0.04,-0.35,-0.01,-0.05
10,"fs","fs","fs","fs","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,-10,"sat",169.38,"sat",90.8,"sat",296.89,"sat",165.24,-0.06,-0.57,-0.01,-0.07
11,"fs","fs","fs","fs","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,115,"sat",233.11,"sat",131.5,"sat",389.74,"sat",222.16,-0.03,-0.28,-0.01,-0.06
12,"fs","fs","fs","fs","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,115,"sat",233.17,"sat",131.53,"sat",389.85,"sat",222.22,-0.04,-0.42,-0.01,-0.08
13,"fs","fs","fs","fs","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,-10,"sat",199.24,"sat",104.03,"sat",357.64,"sat",196.83,-0.04,-0.27,-0.01,-0.04
14,"fs","fs","fs","fs","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,-10,"sat",199.28,"sat",104.05,"sat",357.72,"sat",196.87,-0.07,-0.44,-0.01,-0.06
15,"fs","fs","fs","fs","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,115,"sat",273.56,"sat",150.09,"sat",469.1,"sat",263.91,-0.03,-0.22,-0.01,-0.05
16,"fs","fs","fs","fs","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,115,"sat",273.61,"sat",150.11,"sat",469.19,"sat",263.96,-0.05,-0.33,-0.01,-0.06
17,"sf","sf","sf","sf","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,-10,"sat",175.04,"sat",96.53,"sat",291.73,"sat",162.93,-0.04,-0.35,-0.01,-0.05
18,"sf","sf","sf","sf","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,-10,"sat",175.08,"sat",96.55,"sat",291.81,"sat",162.97,-0.06,-0.59,-0.01,-0.07
19,"sf","sf","sf","sf","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3,0.9,115,"sat",241.61,"sat",139.79,"sat",382.71,"sat",218.93,-0.03,-0.27,-0.01,-0.06
20,"sf","sf","sf","sf","ss","ss","ss","ss","ss","ss","ss","ss","ss","ss","tt","tt","tt","tt",3.6,1.1,115,"sat",241.67,"sat",139.82,"sat",382.82,"sat",218.98,-0.04,-0.41,-0.01,-0.08
21,"sf","sf","sf","sf","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,-10,"sat",206.11,"sat",111.18,"sat",351.26,"sat",193.9,-0.04,-0.26,-0.01,-0.04
22,"sf","sf","sf","sf","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,-10,"sat",206.15,"sat",111.2,"sat",351.33,"sat",193.94,-0.07,-0.44,-0.01,-0.06
23,"sf","sf","sf","sf","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3,0.9,115,"sat",283.81,"sat",160.32,"sat",460.61,"sat",259.93,-0.03,-0.21,-0.01,-0.05
24,"sf","sf","sf","sf","ff","ff","ff","ff","ff","ff","ff","ff","ff","ff","tt","tt","tt","tt",3.6,1.1,115,"sat",283.86,"sat",160.34,"sat",460.7,"sat",259.98,-0.05,-0.32,-0.01,-0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lib Name:","daisyTest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cell Name:","daisyTop_T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tag:","DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Designer:","jacobw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date:","Today",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
